"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","out_bool","cond","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"1","b01_lnovikova",1,"NC",4.5,NA,5,NA,"reject",11268,0,FALSE,"b",NA,NA,NA,NA,5,5,NA
"2","b01_lnovikova",1,"SC",5,NA,3.5,4.5,"accept",9556,5,TRUE,"b",NA,0,NA,4.5,5.4,6.5,NA
"3","b01_lnovikova",1,"BC",6.5,4.3,8,NA,"reject",10515,0,FALSE,"b",NA,1,NA,5,6.6,5,NA
"4","b01_lnovikova",2,"NC",5,NA,0.1,NA,"accept",10135,5,TRUE,"b",0,0,4.5,6.5,4.8,5.4,1
"5","b01_lnovikova",2,"SC",5.4,NA,4.8,2.3,"accept",8518,4.6,TRUE,"b",1,1,5,5,4.2,6.6,0
"6","b01_lnovikova",2,"BC",6.6,5,4,NA,"accept",9118,3.4,TRUE,"b",0,1,6.5,5.4,5.8,4.8,1
"7","b01_lnovikova",3,"NC",4.8,NA,2,NA,"accept",10462,5.2,TRUE,"b",1,1,5,6.6,4.6,4.2,1
"8","b01_lnovikova",3,"SC",4.2,NA,2.6,0.1,"accept",11397,5.8,TRUE,"b",1,1,5.4,4.8,4,5.8,1
"9","b01_lnovikova",3,"BC",5.8,8,4.5,NA,"reject",9636,0,FALSE,"b",1,1,6.6,4.2,7.2,4.6,1
"10","b01_lnovikova",4,"NC",4.6,NA,2.6,NA,"accept",10666,5.4,TRUE,"b",1,0,4.8,5.8,3.6,4,1
"11","b01_lnovikova",4,"SC",4,NA,4.1,0.1,"accept",10608,6,TRUE,"b",1,1,4.2,4.6,5.1,7.2,1
"12","b01_lnovikova",4,"BC",7.2,6.6,3,NA,"accept",7511,2.8,TRUE,"b",0,1,5.8,4,5,3.6,1
"13","b01_lnovikova",5,"NC",3.6,NA,1,NA,"accept",10058,6.4,TRUE,"b",1,1,4.6,7.2,3.4,5.1,1
"14","b01_lnovikova",5,"SC",5.1,NA,3.5,4,"accept",12748,4.9,TRUE,"b",1,1,4,3.6,4.3,5,0
"15","b01_lnovikova",5,"BC",5,7.1,6,NA,"reject",8043,0,FALSE,"b",1,1,7.2,5.1,7.1,3.4,1
"16","b01_lnovikova",6,"NC",3.4,NA,2.6,NA,"accept",9010,6.6,TRUE,"b",1,0,3.6,5,3.4,4.3,1
"17","b01_lnovikova",6,"SC",4.3,NA,0,0.1,"accept",11128,5.7,TRUE,"b",1,1,5.1,3.4,3.9,7.1,1
"18","b01_lnovikova",6,"BC",7.1,7.4,2.5,NA,"reject",8722,0,FALSE,"b",0,1,5,4.3,8.1,3.4,1
"19","b01_lnovikova",7,"NC",3.4,NA,8,NA,"reject",8653,0,FALSE,"b",1,0,3.4,7.1,3.5,3.9,1
"20","b01_lnovikova",7,"SC",3.9,NA,2,0.1,"accept",9820,6.1,TRUE,"b",1,0,4.3,3.4,3.6,8.1,1
"21","b01_lnovikova",7,"BC",8.1,8.5,2.4,NA,"reject",9489,0,FALSE,"b",0,1,7.1,3.9,8.6,3.5,1
"22","b01_lnovikova",8,"NC",3.5,NA,4.5,NA,"reject",9447,0,FALSE,"b",0,0,3.4,8.1,3.3,3.6,1
"23","b01_lnovikova",8,"SC",3.6,NA,0.5,3.5,"accept",8029,6.4,TRUE,"b",1,0,3.9,3.5,4,8.6,1
"24","b01_lnovikova",8,"BC",8.6,7.2,5.3,NA,"accept",9798,1.4,TRUE,"b",0,1,8.1,3.6,7.4,3.3,1
"25","b01_lnovikova",9,"NC",3.3,NA,4.3,NA,"reject",9759,0,FALSE,"b",0,1,3.5,8.6,3.2,4,0
"26","b01_lnovikova",9,"SC",4,NA,3.8,0.1,"accept",9068,6,TRUE,"b",1,0,3.6,3.3,3.8,7.4,0
"27","b01_lnovikova",9,"BC",7.4,7.9,4.8,NA,"reject",8865,0,FALSE,"b",1,1,8.6,4,7.6,3.2,1
"28","b01_lnovikova",10,"NC",3.2,NA,3.1,NA,"accept",7067,6.8,TRUE,"b",0,0,3.3,7.4,3.2,3.8,0
"29","b01_lnovikova",10,"SC",3.8,NA,0.2,2,"accept",7744,6.2,TRUE,"b",1,1,4,3.2,3.4,7.6,1
"30","b01_lnovikova",10,"BC",7.6,5.7,1,NA,"accept",9825,2.4,TRUE,"b",0,1,7.4,3.8,7.1,3.2,1
"31","b01_lnovikova",11,"NC",3.2,NA,0,NA,"accept",10350,6.8,TRUE,"b",1,1,3.2,7.6,3.1,3.4,1
"32","b01_lnovikova",11,"SC",3.4,NA,3.3,4,"accept",10373,6.6,TRUE,"b",1,1,3.8,3.2,3.7,7.1,1
"33","b01_lnovikova",11,"BC",7.1,8.4,5,NA,"reject",10058,0,FALSE,"b",1,1,7.6,3.4,7.4,3.1,1
"34","b01_lnovikova",12,"NC",3.1,NA,4.6,NA,"reject",10625,0,FALSE,"b",1,0,3.2,7.1,3,3.7,1
"35","b01_lnovikova",12,"SC",3.7,NA,0.4,3.5,"accept",11906,6.3,TRUE,"b",1,0,3.4,3.1,3.6,7.4,0
"36","b01_lnovikova",12,"BC",7.4,8,2.9,NA,"reject",9504,0,FALSE,"b",0,1,7.1,3.7,8.5,3,1
"37","b01_lnovikova",13,"NC",3,NA,0,NA,"accept",10160,7,TRUE,"b",0,0,3.1,7.4,2.9,3.6,0
"38","b01_lnovikova",13,"SC",3.6,NA,2,1,"accept",8509,6.4,TRUE,"b",1,1,3.7,3,3.2,8.5,1
"39","b01_lnovikova",13,"BC",8.5,8.1,7,NA,"accept",8380,1.5,TRUE,"b",0,1,7.4,3.6,8.2,2.9,1
"40","b01_lnovikova",14,"NC",2.9,NA,1.6,NA,"accept",9743,7.1,TRUE,"b",1,1,3,8.5,2.8,3.2,1
"41","b01_lnovikova",14,"SC",3.2,NA,2.1,0.1,"accept",10218,6.8,TRUE,"b",1,1,3.6,2.9,3.4,8.2,1
"42","b01_lnovikova",14,"BC",8.2,8.2,5,NA,"reject",8695,0,FALSE,"b",1,1,8.5,3.2,7.7,2.8,1
"43","b01_lnovikova",15,"NC",2.8,NA,4,NA,"reject",8011,0,FALSE,"b",1,0,2.9,8.2,3,3.4,1
"44","b01_lnovikova",15,"SC",3.4,NA,2.9,4,"accept",9857,6.6,TRUE,"b",1,0,3.2,2.8,3.2,7.7,0
"45","b01_lnovikova",15,"BC",7.7,8.2,1.6,NA,"reject",8832,0,FALSE,"b",0,1,8.2,3.4,8.4,3,0
"46","b01_lnovikova",16,"NC",3,NA,0.1,NA,"accept",7570,7,TRUE,"b",0,0,2.8,7.7,2.9,3.2,1
"47","b01_lnovikova",16,"SC",3.2,NA,2,4.8,"accept",8843,6.8,TRUE,"b",1,1,3.4,3,3.1,8.4,1
"48","b01_lnovikova",16,"BC",8.4,8.6,7.6,NA,"reject",7742,0,FALSE,"b",0,1,7.7,3.2,9,2.9,1
"49","b01_lnovikova",17,"NC",2.9,NA,4,NA,"reject",9547,0,FALSE,"b",1,0,3,8.4,3.1,3.1,1
"50","b01_lnovikova",17,"SC",3.1,NA,4.8,0,"accept",10704,6.9,TRUE,"b",1,0,3.2,2.9,3.3,9,1
"51","b01_lnovikova",17,"BC",9,8,3,NA,"accept",12417,1,TRUE,"b",0,1,8.4,3.1,8.7,3.1,1
"52","b01_lnovikova",18,"NC",3.1,NA,3,NA,"accept",13646,6.9,TRUE,"b",0,1,2.9,9,3,3.3,1
"53","b01_lnovikova",18,"SC",3.3,NA,3,3,"accept",10757,6.7,TRUE,"b",1,1,3.1,3.1,3.2,8.7,0
"54","b01_lnovikova",18,"BC",8.7,8.3,0.1,NA,"accept",11568,1.3,TRUE,"b",1,1,9,3.3,8.1,3,1
"55","b01_lnovikova",19,"NC",3,NA,4,NA,"reject",9122,0,FALSE,"b",1,1,3.1,8.7,3.1,3.2,1
"56","b01_lnovikova",19,"SC",3.2,NA,3.1,6.3,"accept",12375,6.8,TRUE,"b",1,0,3.3,3,3.1,8.1,1
"57","b01_lnovikova",19,"BC",8.1,8.2,0,NA,"reject",8370,0,FALSE,"b",1,1,8.7,3.2,8.5,3.1,1
"58","b01_lnovikova",20,"NC",3.1,NA,5,NA,"reject",9368,0,FALSE,"b",0,0,3,8.1,3.6,3.1,1
"59","b01_lnovikova",20,"SC",3.1,NA,4.6,0,"accept",7898,6.9,TRUE,"b",1,0,3.2,3.1,2.9,8.5,1
"60","b01_lnovikova",20,"BC",8.5,8.8,1,NA,"reject",10317,0,FALSE,"b",0,1,8.1,3.1,8.6,3.6,1
"61","b01_lnovikova",21,"NC",3.6,NA,2,NA,"accept",7157,6.4,TRUE,"b",0,0,3.1,8.5,3.2,2.9,1
"62","b01_lnovikova",21,"SC",2.9,NA,2,3.8,"accept",8949,7.1,TRUE,"b",1,1,3.1,3.6,2.7,8.6,1
"63","b01_lnovikova",21,"BC",8.6,7,0.8,NA,"accept",8868,1.4,TRUE,"b",0,1,8.5,2.9,8.6,3.2,1
"64","b01_lnovikova",22,"NC",3.2,NA,2,NA,"accept",9354,6.8,TRUE,"b",1,1,3.6,8.6,3,2.7,1
"65","b01_lnovikova",22,"SC",2.7,NA,2.9,0,"accept",9663,7.3,TRUE,"b",1,1,2.9,3.2,2.6,8.6,1
"66","b01_lnovikova",22,"BC",8.6,8.4,0,NA,"accept",10172,1.4,TRUE,"b",1,1,8.6,2.7,8.6,3,1
"67","b01_lnovikova",23,"NC",3,NA,6.2,NA,"reject",8937,0,FALSE,"b",1,1,3.2,8.6,3.1,2.6,1
"68","b01_lnovikova",23,"SC",2.6,NA,0.5,0.1,"accept",9072,7.4,TRUE,"b",1,0,2.7,3,2.4,8.6,1
